Coupling
  -5.680  -5.099  -2.354   4.740   4.692   5.213   5.287   4.647   3.873   3.917  -2.487  -4.822  -5.680
  -9.187  -6.835  -0.978   0.038  -0.246   1.985  -3.866  -0.597  -0.085  -3.900  -8.138  -7.903  -9.187
 -14.096 -12.096  -7.418 -11.340  -9.392  -7.219 -12.771 -10.701 -12.424 -16.255 -15.802 -14.763 -14.096
 -10.281  -5.566 -10.381 -15.172 -16.572 -11.896 -13.204 -12.922 -23.842 -25.338 -19.540 -12.873 -10.281
 -10.698  -5.651 -16.195 -18.893 -17.455 -12.474 -13.896 -13.796 -39.664 -27.903 -18.685 -13.641 -10.698
 -15.883 -13.372 -23.567 -21.804 -19.864 -17.592 -18.539 -26.998 -40.363 -33.732 -22.852 -18.286 -15.883
 -28.619 -32.234 -29.847 -27.896 -26.432 -27.658 -26.831 -28.215 -29.259 -31.120 -29.699 -29.757 -28.619
 -17.391 -23.388 -27.621 -33.259 -36.722 -41.347 -18.573 -19.094 -22.658 -24.861 -27.560 -31.591 -17.391
 -11.056 -14.649 -20.133 -30.711 -44.562 -11.617 -12.820 -12.467 -16.472 -19.634 -17.273  -4.408 -11.056
  -9.020 -12.308 -18.277 -23.898 -21.642  -9.832  -9.354 -10.552 -15.153 -14.377  -9.998  -3.661  -9.020
 -13.833 -15.094 -16.668 -16.172 -12.698 -10.655 -12.358  -7.105  -9.866 -11.269  -7.027 -12.160 -13.833
 -12.027 -11.246  -9.990  -5.741  -2.741  -2.986  -6.380   0.288  -2.773  -2.446  -2.700 -10.149 -12.027
  -5.680  -5.099  -2.354   4.740   4.692   5.213   5.287   4.647   3.873   3.917  -2.487  -4.822  -5.680
CtermShift_cisGly_transPro
  -6.380  -5.818  -5.343  -0.750   1.617  -2.062 -14.099  -1.361   1.724  -0.947  -5.230  -5.790  -6.380
  -6.111  -3.086  -6.243  -4.340  -2.727  -5.455 -12.826  -2.948   1.698  -3.180  -8.584  -9.238  -6.111
  -4.958  -3.326 -10.653  -8.907  -9.624 -15.114 -22.019 -12.357  -2.804  -9.065 -11.838 -10.582  -4.958
  -3.686 -10.039 -12.709 -11.132 -10.188 -19.862 -28.082 -27.262 -10.599 -16.822 -14.035 -10.638  -3.686
  -4.821  -8.666 -12.762 -11.180 -11.212 -16.320 -23.894 -24.259  -7.767 -19.633 -16.190 -12.269  -4.821
  -5.311  -7.052 -12.070 -10.590 -12.515 -16.490 -19.370 -10.335  -9.854 -12.940 -15.893 -11.829  -5.311
  -4.725  -9.201 -12.852 -11.672 -10.136 -13.300 -15.090 -19.402 -13.308 -14.660 -14.676 -10.623  -4.725
  -4.237 -10.391 -15.605 -12.546  -8.092  -9.317 -25.415 -17.547 -12.982 -11.774 -12.224  -9.570  -4.237
  -3.706 -11.605 -16.219 -20.321 -11.600 -28.499 -24.779 -16.215 -12.300  -9.599 -11.323  -6.583  -3.706
  -3.347 -10.562 -14.648 -16.825 -10.793 -27.479 -27.540 -20.281  -9.956 -11.111 -12.521  -9.273  -3.347
